📉 Dashboard already running at http://localhost:7860 — skipping.
🚀 Pretraining SimCLR with resnet18 for 800 epochs
📁 Checkpoints → /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt
[Epoch 171/800] Loss: 0.5136  LR: 0.270648
[Epoch 172/800] Loss: 0.5096  LR: 0.270292
[Epoch 173/800] Loss: 0.5118  LR: 0.269935
[Epoch 174/800] Loss: 0.5013  LR: 0.269576
[Epoch 175/800] Loss: 0.5094  LR: 0.269215
[Epoch 176/800] Loss: 0.5060  LR: 0.268852
[Epoch 177/800] Loss: 0.5133  LR: 0.268487
[Epoch 178/800] Loss: 0.5024  LR: 0.268120
[Epoch 179/800] Loss: 0.5131  LR: 0.267751
[Epoch 180/800] Loss: 0.5053  LR: 0.267381
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_180.pth
[Epoch 181/800] Loss: 0.5093  LR: 0.267009
[Epoch 182/800] Loss: 0.5079  LR: 0.266635
[Epoch 183/800] Loss: 0.4914  LR: 0.266259
[Epoch 184/800] Loss: 0.5105  LR: 0.265881
[Epoch 185/800] Loss: 0.5054  LR: 0.265501
[Epoch 186/800] Loss: 0.5083  LR: 0.265120
[Epoch 187/800] Loss: 0.4949  LR: 0.264736
[Epoch 188/800] Loss: 0.5012  LR: 0.264351
[Epoch 189/800] Loss: 0.5060  LR: 0.263964
[Epoch 190/800] Loss: 0.5019  LR: 0.263575
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_190.pth
[Epoch 191/800] Loss: 0.5025  LR: 0.263185
[Epoch 192/800] Loss: 0.4963  LR: 0.262792
[Epoch 193/800] Loss: 0.5098  LR: 0.262398
[Epoch 194/800] Loss: 0.5017  LR: 0.262002
[Epoch 195/800] Loss: 0.4926  LR: 0.261605
[Epoch 196/800] Loss: 0.5041  LR: 0.261205
[Epoch 197/800] Loss: 0.4903  LR: 0.260804
[Epoch 198/800] Loss: 0.5030  LR: 0.260401
[Epoch 199/800] Loss: 0.5019  LR: 0.259997
[Epoch 200/800] Loss: 0.5029  LR: 0.259590
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_200.pth
[Epoch 201/800] Loss: 0.4940  LR: 0.259182
[Epoch 202/800] Loss: 0.5006  LR: 0.258772
[Epoch 203/800] Loss: 0.4893  LR: 0.258360
[Epoch 204/800] Loss: 0.4942  LR: 0.257947
[Epoch 205/800] Loss: 0.4951  LR: 0.257532
[Epoch 206/800] Loss: 0.4923  LR: 0.257115
